Artur Andrzejak;Patricio Domingues;4
Patricio Domingues;Artur Andrzejak;4
Attila Marosi;Ad Emmen;2
Ad Emmen;Attila Marosi;2
Attila Marosi;David Santiago;1
David Santiago;Attila Marosi;1
Attila Marosi;Diogo Ferreira;1
Diogo Ferreira;Attila Marosi;1
Attila Marosi;Etienne Urbah;1
Etienne Urbah;Attila Marosi;1
Attila Marosi;Filipe Araujo;3
Filipe Araujo;Attila Marosi;3
Attila Marosi;Gilles Fedak;2
Gilles Fedak;Attila Marosi;2
Attila Marosi;Gábor Gombás;3
Gábor Gombás;Attila Marosi;3
Attila Marosi;Gábor Terstyánszky;2
Gábor Terstyánszky;Attila Marosi;2
Attila Marosi;Ian Kelly;2
Ian Kelly;Attila Marosi;2
Attila Marosi;Ian Taylor;2
Ian Taylor;Attila Marosi;2
Attila Marosi;Jorge Farinha;1
Jorge Farinha;Attila Marosi;1
Attila Marosi;Luís Silva;1
Luís Silva;Attila Marosi;1
Attila Marosi;Miguel Cardenas-Montes;2
Miguel Cardenas-Montes;Attila Marosi;2
Attila Marosi;Oleg Lodygensky;3
Oleg Lodygensky;Attila Marosi;3
Attila Marosi;Patricio Domingues;1
Patricio Domingues;Attila Marosi;1
Attila Marosi;Péter Kacsuk;3
Péter Kacsuk;Attila Marosi;3
Attila Marosi;Róbert Lovas;2
Róbert Lovas;Attila Marosi;2
Attila Marosi;Tamas Kiss;2
Tamas Kiss;Attila Marosi;2
Attila Marosi;Zoltán Balaton;3
Zoltán Balaton;Attila Marosi;3
Attila Marosi;Zoltán Farkas;3
Zoltán Farkas;Attila Marosi;3
Bipin C. Desai;Jorge Bernardino;3
Jorge Bernardino;Bipin C. Desai;3
Bruno Cabral;Alcides Fonseca;5
Alcides Fonseca;Bruno Cabral;5
Bruno Cabral;Jonathan Aldrich;1
Jonathan Aldrich;Bruno Cabral;1
Bruno Cabral;Jorge Bernardino;5
Jorge Bernardino;Bruno Cabral;5
Bruno Cabral;João Pedro Maia Rafael;2
João Pedro Maia Rafael;Bruno Cabral;2
Bruno Cabral;Luís Silva;1
Luís Silva;Bruno Cabral;1
Bruno Cabral;Marco Vieira;4
Marco Vieira;Bruno Cabral;4
Bruno Cabral;Paulo Marques;9
